Name	Set	ImageFile	Info	Type	Count	Text
1 Tribble - Bonus	TwT	1tribblebonus	120C	Bonus	1	At the end of the round, if you avoided getting "decked" and your play pile includes a run of all four BONUS cards (1-10-100-1,000), you score 100,000 points.
1 Tribble - Clone & Reverse	NTAA	19V	19V	Clone;Reverse	1	Reverse the direction of play from clockwise to counterclockwise (or vice versa). This tribble may be played even when it has the same number of tribbles as the last card played.
1 Tribble - Cycle	MTMT	1V	1V	Cycle	1	Place a tribble in hand beneath your draw deck to draw a card.
1 Tribble - Discard	TwT	1tribblediscard	121C	Discard	1	Choose one card in your hand to place in your discard pile.
1 Tribble - Evolve	NTAA	20V	20V	Evolve	1	Count the number of cards in your hand, place your hand in your discard pile, and draw that many cards.
1 Tribble - Exchange	MTMT	2V	2V	Exchange	1	Discard a tribble from hand to take a tribble into hand from your discard pile.
1 Tribble - Go	TwT	1tribblego	122C	Go	1	Take another turn (that is, play the next tribble number in sequence).
1 Tribble - Process	NTAA	21V	21V	Process	1	Draw three cards, then choose two cards from hand to place beneath your draw deck.
1 Tribble - Replay	MTMT	3V	3V	Replay	1	Search your play pile for a tribble and play it again.
1 Tribble - Skip	Tribble	1-Tribble-Skip	0Bl	Skip	1	Skip the next player.
1,000 Tribbles - Bonus	TwT	1000tribblesbonus	129R*	Bonus	1000	At the end of the round, if you avoided getting "decked" and your play pile includes a run of all four BONUS cards (1-10-100-1,000), you score 100,000 points.
1,000 Tribbles - Discard	TwT	1000tribblesdiscard	130R*	Discard	1000	Choose one card in your hand to place in your discard pile.
1,000 Tribbles - Exchange	MTMT	10V	10V	Exchange	1000	Discard a tribble from hand to take a tribble into hand from your discard pile.
1,000 Tribbles - Freeze	NTAA	28V	28V	Freeze	1000	Name a tribble power. Until the end of your next turn this round, players cannot play tribbles with that power (whether the power is used or not).
1,000 Tribbles - Process	NTAA	29V	29V	Process	1000	Draw three cards, then choose two cards from hand to place beneath your draw deck.
1,000 Tribbles - Recycle	MTMT	11V	11V	Recycle	1000	Choose a player to shuffle his or her discard pile into his or her draw deck.
1,000 Tribbles - Rescue	TwT	1000tribblesrescue	131R*	Rescue	1000	Look through your discard pile and recover a card. Place it face-down on top of your draw deck - or, if it has the proper number of tribbles, you may play it now.
1,000 Tribbles - Safety	NTAA	30V	30V	Safety	1000	If this tribble is in your play pile at the end of the round, you may shuffle your hand into your draw deck instead of placing your hand in your discard pile.
1,000 Tribbles - Score	MTMT	12V	12V	Score	1000	Choose a player. If that player plays a tribble on his or her next turn, you score points equal to the number of tribbles on that card.
1,000 Tribbles - Reverse	Tribble	1000-Tribble-Reverse	0Bl	Reverse	1000	Reverse the direction of play from clockwise to counterclockwise (or vice versa).
10 Tribbles - Battle	NTAA	22V	22V	Battle	10	Choose another player to reveal the top three cards of his or her draw deck. You reveal the top three cards of your draw deck. Each player with the highest total places those cards under his or her play pile; the other player discards his or her cards.
10 Tribbles - Bonus	TwT	10tribblesbonus	123U	Bonus	10	At the end of the round, if you avoided getting "decked" and your play pile includes a run of all four BONUS cards (1-10-100-1,000), you score 100,000 points.
10 Tribbles - Copy	MTMT	4V	4V	Copy	10	You may immediately use the game text of the top tribble of any other play pile.
10 Tribbles - Cycle	MTMT	5V	5V	Cycle	10	Place a tribble in hand beneath your draw deck to draw a card.
10 Tribbles - Draw	MTMT	6V	6V	Draw	10	Choose a player. He or she must draw a card.
10 Tribbles - Evolve	NTAA	23V	23V	Evolve	10	Count the number of cards in your hand, place your hand in your discard pile, and draw that many cards.
10 Tribbles - Go	TwT	10tribblesgo	124U	Go	10	Take another turn (that is, play the next tribble number in sequence).
10 Tribbles - Poison	TwT	10tribblespoison	125U	Poison	10	Choose any opponent who still has card(s) in their draw deck. That opponent must discard the top card, and you immediately score points equal to the number of tribbles on that card.
10 Tribbles - Skip	Tribble	10-Tribble-Skip	0Bl	Skip	10	Skip the next player.
10 Tribbles - Toxin	NTAA	24V	24V	Toxin	10	Each other player reveals the top card of his or her draw deck for each Discard tribble in his or her play pile. Choose one revealed card and score points equal to the number of tribbles on that card. Each player who revealed cards places those cards in his or her hand.
10,000 Tribbles - Antidote	MTMT	13V	13V	Antidote	10000	If this tribble is poisoned, its owner scores points instead and may place his or her hand beneath his or her draw deck.
10,000 Tribbles - Clone *VP	VP	1VTP	1VT	Clone	10000	This tribble may be played even when it has the same number of tribbles as the last card played.
10,000 Tribbles - Clone	Tribble	10000-Tribble-Clone	0Bl	Clone	10000	This tribble may be played even when it has the same number of tribbles as the last card played.
10,000 Tribbles - Go *V	NTAA	31V	31V	Go	10000	Take another turn (that is, play the next tribble number in sequence).
10,000 Tribbles - Go	TwT	10000tribblesgo	132R+	Go	10000	Take another turn (that is, play the next tribble number in sequence).
10,000 Tribbles - Kill	MTMT	14V	14V	Kill	10000	Choose a player to discard the top tribble of his or her play pile.
10,000 Tribbles - Poison	TwT	10000tribblespoison	133R+	Poison	10000	Choose any opponent who still has card(s) in their draw deck. That opponent must discard the top card, and you immediately score points equal to the number of tribbles on that card.
10,000 Tribbles - Quadruple	NTAA	32V	32V	Quadruple	10000	If you win the round with this tribble in your play pile, this tribble is worth 40,000 instead of 10,000. (This tribble cannot be copied.)
10,000 Tribbles - Recycle	MTMT	15V	15V	Recycle	10000	Choose a player to shuffle his or her discard pile into his or her draw deck.
10,000 Tribbles - Rescue	TwT	10000tribblesrescue	134R+	Rescue	10000	Look through your discard pile and recover a card. Place it face-down on top of your draw deck - or, if it has the proper number of tribbles, you may play it now.
10,000 Tribbles - Reverse	Tribble	10000-Tribble-Reverse	0Bl	Reverse	10000	Reverse the direction of play from clockwise to counterclockwise (or vice versa).
10,000 Tribbles - Skip	Tribble	10000-Tribble-Skip	0Bl	Skip	10000	Skip the next player.
10,000 Tribbles - Toxin	NTAA	33V	33V	Toxin	10000	Each other player reveals the top card of his or her draw deck for each Discard tribble in his or her play pile. Choose one revealed card and score points equal to the number of tribbles on that card. Each player who revealed cards places those cards in his or her hand.
100 Tribbles - Battle	NTAA	25V	25V	Battle	100	Choose another player to reveal the top three cards of his or her draw deck. You reveal the top three cards of your draw deck. Each player with the highest total places those cards under his or her play pile; the other player discards his or her cards.
100 Tribbles - Bonus	TwT	100tribblesbonus	126U	Bonus	100	At the end of the round, if you avoided getting "decked" and your play pile includes a run of all four BONUS cards (1-10-100-1,000), you score 100,000 points.
100 Tribbles - Clone & Skip	NTAA	26V	26V	Clone;Skip	100	Skip the next player. This tribble may be played even when it has the same number of tribbles as the last card played.
100 Tribbles - Copy	MTMT	7V	7V	Copy	100	You may immediately use the game text of the top tribble of any other play pile.
100 Tribbles - Draw	MTMT	8V	8V	Draw	100	Choose a player. He or she must draw a card.
